Availibility,CRN,Subject,Course Number,Section,Campus,Credits,Course Title,Days,Time,Capacity,Registered Seats,Remaining Seats,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10138,BIF,205,31,2,3.000,Biostatistics,TR,08:00 am-09:15 am,40,2,38,15,0,15,40,6,34,TBA,08/31-12/08,204 0607,
NR,10139,BIF,205,32,2,3.000,Biostatistics,MWF,10:00 am-10:50 am,40,3,37,15,0,15,40,8,32,TBA,08/31-12/08,204 0502,
NR,10140,BIF,205,33,2,3.000,Biostatistics,TR,11:00 am-12:15 pm,40,13,27,15,0,15,40,27,13,Eileen-Marie Salim Hanna (P),08/31-12/08,201 0406,
NR,10147,BIF,243,31,2,3.000,Intr. to Object Oriented Prog.,MWF / F,01:00 pm-01:50 pm (MWF) / 05:00 pm-07:50 pm (F),40,0,40,15,0,15,40,1,39,Joseph Toufic Khalifeh (P) (MWF) | TBA (F),08/31-12/08 (MWF) / 08/31-12/08 (F),204 0503 (MWF) / TBA (F),
NR,10148,BIF,243,32,2,3.000,Intr. to Object Oriented Prog.,TR / R,02:00 pm-03:15 pm (TR) / 05:00 pm-07:50 pm (R),40,2,38,15,0,15,40,3,37,Joseph Toufic Khalifeh (P) (TR) | TBA (R),08/31-12/08 (TR) / 08/31-12/08 (R),204 0404 (TR) / TBA (R),
NR,10151,BIF,245,31,2,3.000,Objects and Data Abstraction,M / TR,05:00 pm-07:50 pm (M) / 02:00 pm-03:15 pm (TR),40,6,34,15,0,15,40,20,20,TBA (M) | Danielle Antoine Azar (P) (TR),08/31-12/08 (M) / 08/31-12/08 (TR),TBA (M) / 204 0503 (TR),
NR,10157,BIF,310,31,2,3.000,Algorithms and Data Structures,TR / W,11:00 am-12:15 pm (TR) / 05:00 pm-07:50 pm (W),40,1,39,15,0,15,40,9,31,Danielle Antoine Azar (P) (TR) | TBA (W),08/31-12/08 (TR) / 08/31-12/08 (W),204 0607 (TR) / TBA (W),
NR,10158,BIF,310,32,2,3.000,Algorithms and Data Structures,TR / T,03:30 pm-04:45 pm (TR) / 05:00 pm-07:50 pm (T),40,5,35,15,0,15,40,31,9,Danielle Antoine Azar (P) (TR) | TBA (T),08/31-12/08 (TR) / 08/31-12/08 (T),201 0405 (TR) / TBA (T),
,10164,BIF,375,31,2,3.000,Database Management Systems,TR,09:30 am-10:45 am,40,8,32,15,0,15,40,40,0,Haidar Mohamad Harmanani (P),08/31-12/08,201 0403,
NR,10166,BIF,498HB,31,2,3.000,Tp:Adv in Epigenet.&Therapeut,F,03:00 pm-05:25 pm,6,1,5,15,0,15,35,13,22,Sama F Sleiman (P),08/31-12/08,204 0502,
,10168,BIF,498HH,31,2,3.000,Topics: Network Science,R,05:00 pm-07:50 pm,6,4,2,15,0,15,40,7,33,Eileen-Marie Salim Hanna (P),08/31-12/08,204 0504,
NR,10170,BIF,524,31,2,3.000,Data Mining,TR,12:30 pm-01:45 pm,40,10,30,15,0,15,40,39,1,Eileen-Marie Salim Hanna (P),08/31-12/08,204 0503,
NR,10172,BIF,599,31,2,3.000,Capstone Project, ,TBA,12,0,12,15,0,15,0,0,0,TBA,08/31-12/08,TBA,
,10174,BIF,599H,31,2,3.000,Capstone Project, ,TBA,6,1,5,15,0,15,0,0,0,TBA,08/31-12/08,TBA,
NR,10637,CSC,201,31,2,1.000,Computer Applications,M,03:00 pm-03:50 pm,18,6,12,15,0,15,0,0,0,TBA,08/31-12/08,230 401,
NR,10638,CSC,201,32,2,1.000,Computer Applications,W,03:00 pm-03:50 pm,18,6,12,15,0,15,0,0,0,TBA,08/31-12/08,230 401,
NR,10639,CSC,201,33,2,1.000,Computer Applications,M,01:00 pm-01:50 pm,18,15,3,15,0,15,0,0,0,TBA,08/31-12/08,230 401,
NR,10640,CSC,201,34,2,1.000,Computer Applications,F,01:00 pm-01:50 pm,18,9,9,15,0,15,0,0,0,TBA,08/31-12/08,230 401,
NR,10641,CSC,201,35,2,1.000,Computer Applications,W,12:00 pm-12:50 pm,18,4,14,15,0,15,0,0,0,TBA,08/31-12/08,230 401,
NR,10642,CSC,201,36,2,1.000,Computer Applications,T,11:00 am-11:50 am,18,10,8,15,0,15,0,0,0,TBA,08/31-12/08,230 401,
NR,10643,CSC,201,37,2,1.000,Computer Applications,M,12:00 pm-12:50 pm,18,17,1,15,0,15,0,0,0,TBA,08/31-12/08,230 401,
NR,10650,CSC,243,31,2,3.000,Intr. Object Oriented Program.,MWF,01:00 pm-01:50 pm,40,1,39,15,0,15,40,1,39,Joseph Toufic Khalifeh (P),08/31-12/08,204 0503,
NR,10651,CSC,243,32,2,3.000,Intr. Object Oriented Program.,TR,02:00 pm-03:15 pm,40,1,39,0,0,0,40,3,37,Joseph Toufic Khalifeh (P),08/31-12/08,204 0404,
NR,10664,CSC,243B,31A,2,1.000,Introduction to Object-Oriented Programming Lab,F,05:00 pm-07:50 pm,25,1,24,0,0,0,0,0,0,TBA,08/31-12/08,230 402,
NR,10665,CSC,243B,31B,2,1.000,Introduction to Object-Oriented Programming Lab,F,05:00 pm-07:50 pm,25,0,25,15,0,15,0,0,0,TBA,08/31-12/08,230 402,
NR,10666,CSC,243B,32A,2,1.000,Introduction to Object-Oriented Programming Lab,R,05:00 pm-07:50 pm,25,1,24,15,0,15,0,0,0,TBA,08/31-12/08,230 402,
NR,10667,CSC,243B,32B,2,1.000,Introduction to Object-Oriented Programming Lab,R,05:00 pm-07:50 pm,25,0,25,15,0,15,0,0,0,TBA,08/31-12/08,230 402,
NR,10670,CSC,245,31,2,3.000,Objects & Data Abstraction,TR,02:00 pm-03:15 pm,40,14,26,15,0,15,40,20,20,Danielle Antoine Azar (P),08/31-12/08,204 0503,
NR,10675,CSC,245B,31A,2,1.000,Objects & Data Abstraction Lab,M,05:00 pm-07:50 pm,25,11,14,15,0,15,0,0,0,TBA,08/31-12/08,230 402,
NR,10676,CSC,245B,31B,2,1.000,Objects & Data Abstraction Lab,M,05:00 pm-07:50 pm,25,3,22,15,0,15,0,0,0,TBA,08/31-12/08,230 402,
NR,10682,CSC,310,31,2,3.000,Algorithms & Data Structures,TR,11:00 am-12:15 pm,40,8,32,15,0,15,40,9,31,Danielle Antoine Azar (P),08/31-12/08,204 0607,
NR,10683,CSC,310,32,2,3.000,Algorithms & Data Structures,TR,03:30 pm-04:45 pm,40,26,14,15,0,15,40,31,9,Danielle Antoine Azar (P),08/31-12/08,201 0405,
NR,10694,CSC,310B,31A,2,1.000,Algorithms & Data Struct. Lab,W,05:00 pm-07:50 pm,25,4,21,15,0,15,0,0,0,TBA,08/31-12/08,230 402,
NR,10695,CSC,310B,31B,2,1.000,Algorithms & Data Struct. Lab,W,05:00 pm-07:50 pm,25,4,21,15,0,15,0,0,0,TBA,08/31-12/08,230 402,
NR,10696,CSC,310B,32A,2,1.000,Algorithms & Data Struct. Lab,T,05:00 pm-07:50 pm,25,20,5,15,0,15,0,0,0,TBA,08/31-12/08,230 402,
NR,10697,CSC,310B,32B,2,1.000,Algorithms & Data Struct. Lab,T,05:00 pm-07:50 pm,25,6,19,15,0,15,0,0,0,TBA,08/31-12/08,230 402,
C,10706,CSC,326,31,2,3.000,Operating Systems,TR,08:00 am-09:15 am,40,40,0,15,4,11,0,0,0,TBA,08/31-12/08,204 0502,
C,10711,CSC,375,31,2,3.000,Database Management Systems,TR,09:30 am-10:45 am,40,32,8,15,5,10,40,40,0,Haidar Mohamad Harmanani (P),08/31-12/08,201 0403,
NR,10714,CSC,430,31,2,3.000,Computer Networks,TR,03:30 pm-04:45 pm,40,27,13,15,0,15,0,0,0,Joseph Toufic Khalifeh (P),08/31-12/08,204 0503,
NR,10716,CSC,431,31,2,3.000,Mobile Applications,MWF,01:00 pm-01:50 pm,40,38,2,15,0,15,0,0,0,TBA,08/31-12/08,204 0502,
C,10720,CSC,443,31,2,3.000,Web Programming,MWF,03:00 pm-03:50 pm,40,40,0,15,4,11,0,0,0,TBA,08/31-12/08,206 0506,
NR,12233,CSC,463,31,2,3.000,Introduction to Data Science,TR,12:30 pm-01:45 pm,40,29,11,0,0,0,40,39,1,Eileen-Marie Salim Hanna (P),08/31-12/08,204 0503,
NR,10726,CSC,498HN,31,2,3.000,Topics: Network Science,R,05:00 pm-07:50 pm,3,1,2,15,0,15,40,7,33,Eileen-Marie Salim Hanna (P),08/31-12/08,204 0504,
NR,10731,CSC,599,31,2,3.000,Capstone Project, ,TBA,12,8,4,15,0,15,0,0,0,TBA,08/31-12/08,TBA,
NR,10732,CSC,599,32,2,3.000,Capstone Project, ,TBA,12,0,12,15,0,15,0,0,0,TBA,08/31-12/08,TBA,
NR,10734,CSC,599H,31,2,3.000,Capstone Project, ,TBA,3,1,2,15,0,15,0,0,0,TBA,08/31-12/08,TBA,
NR,10738,CSC,688E,31,2,3.000,Top.CSC:Algo for Phy VLSI Dsgn,T,05:00 pm-07:50 pm,35,0,35,15,0,15,0,0,0,Haidar Mohamad Harmanani (P),08/31-12/08,204 0504,MS-CSC-Hardware/Networks Req
NR,10739,CSC,688O,31,2,3.000,Topics: Network Science,R,05:00 pm-07:50 pm,35,2,33,15,0,15,40,7,33,Eileen-Marie Salim Hanna (P),08/31-12/08,204 0504,
NR,11667,MTH,101,31,2,3.000,Calculus I,MWF / W,02:00 pm-02:50 pm (MWF) / 04:00 pm-04:50 pm (W),40,0,40,15,0,15,0,0,0,TBA (MWF) | TBA (W),08/31-12/08 (MWF) / 08/31-12/08 (W),204 0505 (MWF) / 204 0505 (W),Freshman Science Requirement
NR,11668,MTH,101,32,2,3.000,Calculus I,TR / T,02:00 pm-03:15 pm (TR) / 04:00 pm-04:50 pm (T),40,0,40,15,0,15,0,0,0,TBA (TR) | TBA (T),08/31-12/08 (TR) / 08/31-12/08 (T),204 0502 (TR) / 204 0504 (T),Freshman Science Requirement
NR,11670,MTH,102,31,2,3.000,Calculus II,MWF / M,12:00 pm-12:50 pm (MWF) / 04:00 pm-04:50 pm (M),40,1,39,15,0,15,0,0,0,TBA (MWF) | TBA (M),08/31-12/08 (MWF) / 08/31-12/08 (M),204 0505 (MWF) / 204 0502 (M),Freshman Science Requirement
NR,11678,MTH,201,31,2,3.000,Calculus III,MWF,12:00 pm-12:50 pm,40,0,40,15,0,15,0,0,0,Rony Georges Touma (P),08/31-12/08,201 0407,
NR,11679,MTH,201,32,2,3.000,Calculus III,MWF,10:00 am-10:50 am,40,0,40,15,0,15,0,0,0,Nader Nabil El Khatib (P),08/31-12/08,206 0503,
NR,11680,MTH,201,33,2,3.000,Calculus III,MWF,11:00 am-11:50 am,40,0,40,15,0,15,0,0,0,Rony Georges Touma (P),08/31-12/08,204 0508,
